Student,Section,WA13.5 (Weekly Assignment for Week 13) (1177385),Pre-CDS-130 Computer Experience and Comfort Survey (1177372),Permission to Take Part in a Human Research Study  (1177371),WA Current Points,WA Final Points,WA Current Score,WA Unposted Current Score,WA Final Score,WA Unposted Final Score,YTE Current Points,YTE Final Points,YTE Current Score,YTE Unposted Current Score,YTE Final Score,YTE Unposted Final Score,Ethics Current Points,Ethics Final Points,Ethics Current Score,Ethics Unposted Current Score,Ethics Final Score,Ethics Unposted Final Score,Participation Current Points,Participation Final Points,Participation Current Score,Participation Unposted Current Score,Participation Final Score,Participation Unposted Final Score,Surveys Current Points,Surveys Final Points,Surveys Current Score,Surveys Unposted Current Score,Surveys Final Score,Surveys Unposted Final Score,Stage Exams Current Points,Stage Exams Final Points,Stage Exams Current Score,Stage Exams Unposted Current Score,Stage Exams Final Score,Stage Exams Unposted Final Score,Final Exam Current Points,Final Exam Final Points,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Extra Credits Current Points,Extra Credits Final Points,Extra Credits Current Score,Extra Credits Unposted Current Score,Extra Credits Final Score,Extra Credits Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
,,,Manual Posting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Points Possible,,20,11,10,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
a03_01,Summer 2025 Computing for Scientists (CDS-130-A03),15,11,10,255,255,96.96,96.96,96.96,96.96,238,238,100,100,100,100,147.5,147.5,97.04,97.04,97.04,97.04,22,22,91.67,82.5,55,82.5,0,0,,,,,218.77,218.77,91.53,91.53,91.53,91.53,282,282,93.38,93.38,93.38,93.38,49,49,,,,,1212.27,1212.27,99.53,99.13,98.24,99.13,A+,A+,A+,A+
a03_02,Summer 2025 Computing for Scientists (CDS-130-A03),19,11,10,256.5,256.5,97.53,97.53,97.53,97.53,237.47,237.47,99.78,99.78,99.78,99.78,148.25,148.25,97.53,97.53,97.53,97.53,22,22,91.67,95,55,95,0,0,,,,,239,239,100,100,100,100,302,302,100,100,100,100,80.5,80.5,,,,,1285.71,1285.71,105.56,105.49,104.19,105.49,A+,A+,A+,A+
a03_03,Summer 2025 Computing for Scientists (CDS-130-A03),17,11,10,254.5,254.5,96.77,96.77,96.77,96.77,237.5,237.5,99.79,99.79,99.79,99.79,146.73,146.73,96.54,96.54,96.54,96.54,22,22,91.67,95,55,95,0,0,,,,,234.67,234.67,98.19,98.19,98.19,98.19,302,302,100,100,100,100,57.5,57.5,,,,,1254.9,1254.9,103.03,102.99,101.69,102.99,A+,A+,A+,A+
a03_04,Summer 2025 Computing for Scientists (CDS-130-A03),15,11,10,235.5,235.5,89.54,89.54,89.54,89.54,235.17,235.17,98.81,98.81,98.81,98.81,134,134,88.16,88.16,88.16,88.16,21.5,21.5,89.58,93.75,53.75,93.75,0,0,,,,,175.7,175.7,73.51,73.51,73.51,73.51,249,249,82.45,82.45,82.45,82.45,65,65,,,,,1115.87,1115.87,91.61,91.72,90.43,91.72,A-,A-,A-,A-
